NumberFrom,NumberTo,OwnerId,RegionCode,MNC,RowCount
9014920000,9014939999,mTELE2,25,20,
9014950000,9014959999,mTELE2,62,20,
9014960000,9014969999,mTELE2,62,20,
9014970000,9014979999,mTELE2,15,20,
9014990000,9014999999,mMTT,77,42,
9015000000,9015999999,mTELE2,77,20,
9016000000,9016009999,mTELE2,19,20,
9016010000,9016019999,mTELE2,27,20,
9016020000,9016029999,mTELE2,64,20,
9016030000,9016039999,mTELE2,65,20,
9016040000,9016049999,mTELE2,72,20,
9016050000,9016059999,mTELE2,75,20,
9016060000,9016069999,mTELE2,81,20,
9016070000,9016149999,mTELE2,71,20,
9016150000,9016169999,mTELE2,44,20,
9016170000,9016189999,mTELE2,71,20,
9016190000,9016199999,mTELE2,44,20,
9016210000,9016219999,mTELE2,26,20,
9016220000,9016229999,mMTT,77,42,
9016230000,9016259999,mTELE2,26,20,
9016260000,9016284999,mDanieCall,77,06,
9016285000,9016287499,mDanieCall,73,06,
9016289000,9016289999,mTELE2,79,20,
9016290000,9016299999,mTELE2,44,20,
9016300000,9016344999,mTELE2,41,20,
9016350000,9016359999,mTELE2,43,20,
9016400000,9016419999,mTELE2,41,20,
9016420000,9016424999,mTELE2,22,20,
9016425000,9016432999,mTELE2,83,20,
9016433000,9016436999,mTELE2,76,20,
9016437000,9016439999,mTELE2,79,20,
9016440000,9016449999,mTELE2,17,20,
9016450000,9016459999,mTELE2,22,20,
9016460000,9016469999,mTELE2,26,20,
9016470000,9016479999,mTELE2,26,20,
9016480000,9016499999,mTELE2,77,20,
9016500000,9016749999,mTELE2,41,20,
9016750000,9016799999,mTELE2,17,20,
9016800000,9016899999,mTELE2,40,20,
9016900000,9016999999,mTELE2,40,20,
9017000000,9017999999,mTELE2,77,20,
9018000000,9018009999,mTELE2,54,20,
9018010000,9018019999,mTELE2,54,20,
9018020000,9018039999,mTELE2,64,20,
9018040000,9018079999,mTELE2,65,20,
9018080000,9018089999,mMTT,77,42,
9018090000,9018099999,mRTK,35,20,
9018100000,9018199999,mMTS,03,01,
9018200000,9018219999,mTELE2,65,20,
9018220000,9018229999,mTELE2,58,20,
9018300000,9018399999,mLYCAMOBILE,77,13,
9018470000,9018479999,mTELE2,74,20,
9018500000,9018599999,mTELE2,67,20,
9018600000,9018699999,mTELE2,18,20,
9018700000,9018709999,mTELE2,54,20,
9018710000,9018719999,mTELE2,54,20,
9018880000,9018889999,mTELE2,36,20,
9018890000,9018989999,mTELE2,58,20,
